area_code,year,life_expectancy,imd_score,imd_decile,physiological_score,behavioural_score
E06000026,2017,80.56,26.619,4,96.2,98.4
E06000026,2018,80.64,26.619,4,94.6,99
E06000027,2015,80.705895,28.104,3,93.4,94.3
E06000027,2016,80.447295,28.104,3,91.2,93.5
E06000027,2017,80.8,28.104,3,90.7,96.6
E06000027,2018,80.53,28.104,3,92.8,99
E06000030,2015,81.3865,18.622,7,91.5,96
E06000030,2016,81.682535,18.622,7,90.6,97.4
E06000030,2017,81.81,18.622,7,94.8,93.4
E06000030,2018,81.685,18.622,7,93.2,91.9
E06000031,2015,80.36496,27.821,3,102.6,94
E06000031,2016,80.28043,27.821,3,102.2,96.9
E06000031,2017,80.60499999999999,27.821,3,102.2,97.6
E06000031,2018,80.545,27.821,3,95.5,95.2
E06000032,2015,80.27328,25.908,4,97,92.7
E06000032,2016,80.26744,25.908,4,96.7,92.7
E06000032,2017,80.695,25.908,4,96.6,91.8
E06000032,2018,80.235,25.908,4,99,86.3
E06000033,2015,80.527,22.375,6,100.7,100.7
E06000033,2016,80.595605,22.375,6,100.4,104.3
E06000033,2017,80.81,22.375,6,100.3,102.5
E06000033,2018,80.57499999999999,22.375,6,91.5,99.6
E06000034,2015,80.55186,20.928,6,97.2,100.6
E06000034,2016,80.73978,20.928,6,96.6,100.6
E06000034,2017,81.025,20.928,6,93,100.5
E06000034,2018,80.445,20.928,6,92.1,97
E06000035,2015,80.606325,23.936,5,93,98
E06000035,2016,80.81576000000001,23.936,5,92.1,104.6
E06000035,2017,80.805,23.936,5,94.4,102.4
E06000035,2018,80.33500000000001,23.936,5,87.1,104.1
E06000036,2015,83.0872,10.241,10,111.3,105.7
E06000036,2016,83.36155,10.241,10,109.8,106.1
E06000036,2017,83.58,10.241,10,104.1,108.9
E06000036,2018,83.55,10.241,10,103.7,111.4
E06000037,2015,82.853865,9.952,10,108.8,111.5
E06000037,2016,83.157875,9.952,10,107.9,113.9
E06000037,2017,83.52000000000001,9.952,10,104.3,111.2
E06000037,2018,83.265,9.952,10,108.2,115.3
E06000038,2015,80.881165,19.619,7,113.9,98
E06000038,2016,81.09546,19.619,7,114,98.6
E06000038,2017,81.19999999999999,19.619,7,110.4,104.8
E06000038,2018,80.635,19.619,7,112.7,101.2
E06000039,2015,80.42163,22.965,5,95.1,97.2
E06000039,2016,80.48029500000001,22.965,5,92.8,98.3
E06000039,2017,80.925,22.965,5,95,93.6
E06000039,2018,80.45,22.965,5,89.9,90.7
E06000040,2015,83.09017,8.376,10,115.3,111.5
E06000040,2016,83.16934499999999,8.376,10,114.7,114.2
E06000040,2017,83.345,8.376,10,109.1,113.6
E06000040,2018,83.26,8.376,10,108.6,112.3
E06000041,2015,83.56027,5.846,10,114.9,116.1
E06000041,2016,83.91436999999999,5.846,10,114.3,116.3
E06000041,2017,84.095,5.846,10,112.2,120
E06000041,2018,83.96000000000001,5.846,10,114,118
E06000042,2015,81.114735,17.98,8,105.1,101.1
E06000042,2016,81.12625,17.98,8,104.3,102.6
E06000042,2017,81.43,17.98,8,100.5,103.1
E06000042,2018,81.245,17.98,8,100.2,103.9
E06000043,2015,81.073795,20.761,6,121.6,102.4
E06000043,2016,80.91816,20.761,6,121.2,105.4
E06000043,2017,81.13499999999999,20.761,6,121.7,107.7
E06000043,2018,81.25,20.761,6,121.5,107
E06000044,2015,80.14247499999999,26.899,4,102.8,96.8
E06000044,2016,80.221755,26.899,4,102.9,97.4
E06000044,2017,80.16,26.899,4,103.3,101.9
E06000044,2018,80.41999999999999,26.899,4,102.4,95.5
E06000045,2015,80.387725,26.876,4,108.9,91.4
E06000045,2016,80.37083,26.876,4,109,92.4
E06000045,2017,80.5,26.876,4,107,93.1
E06000045,2018,80.38999999999999,26.876,4,105.7,91.6
E06000046,2015,81.7245,23.294,5,87.1,106.8
E06000046,2016,81.601675,23.294,5,84.9,107.7
E06000046,2017,81.57,23.294,5,89,108.8
E06000046,2018,81.515,23.294,5,90.4,102.4
E06000047,2015,79.80750499999999,26.793,4,88.2,96.4
E06000047,2016,79.850045,26.793,4,87.4,95.5
E06000047,2017,80.045,26.793,4,86.9,98
E06000047,2018,79.485,26.793,4,86.7,93
