area_name,area_code,low_income_children,ltc_employment_gap,ltc_working,sickness_absence,homelessness,fuel_poverty,loneliness,low_birth_weight,child_injury_admissions,self_harm_admissions,inactive_adults,suicide_rate,imd_score,imd_decile
Adur,E07000223,16.13735214490042,15.730527413509417,73.42733227906746,1.8499275795206918,5.927915835958217,8.502484671839511,16.7777546264605,2.168896696300626,107.00997643420003,276.32352165514027,19.0170238530554,13.138459962836338,17.594,6
Allerdale,E07000026,15.629143926645854,12.70982918669428,61.4339064919697,1.5683616230721142,9.655665572958195,15.583956999606599,19.7347001193739,2.4397520163483564,113.92038180953699,222.21138263548485,19.691532035406834,15.861247191011953,22.938,4
Amber Valley,E07000032,16.01972532844469,15.335151421945934,56.10463943611455,1.2052446243862056,7.741996094327897,13.94533412047345,16.2070822717383,2.138739607785352,69.57314456959243,204.7350374713007,21.624346902008135,9.70172077519238,17.97,6
Arun,E07000224,14.963084274010209,11.544733882331132,66.70784712108744,1.1863481244813483,9.247457557244836,7.95960049767055,21.7183916794075,2.2476705384031854,123.72762533597731,277.6862221375606,20.59056014298252,11.710817215635137,18.638,5
Ashfield,E07000170,21.856376938514636,16.45016392916941,63.67037501636125,1.9163811254111585,7.073910136042193,15.35763539490895,23.1145232914734,2.6128436061231817,95.12116315220017,214.40721633066227,24.975288673611868,11.544700949072965,26.308,3
Ashford,E07000105,15.658354264392992,12.778948073233478,60.0101881782228,1.011568269547688,11.145830192501966,8.17735360607428,30.0458724594727,2.0018136636703376,80.703609481133,175.41535587798035,22.738590464523284,10.810358033432514,18.546,6
Babergh,E07000200,11.734924388387663,10.555566182965993,64.61660198014386,1.258912720609395,7.53292576377888,13.317482131795451,18.6139250243484,2.1547764372396143,88.44034613412465,162.1533818011186,19.970042317019434,10.861388347674588,14.267,7
Barking and Dagenham,E09000002,32.10960255769845,13.773628909961698,56.02391509253195,1.2568735037073535,18.320849185053333,20.5262092926243,26.8035624934451,3.463386285028189,65.93617551297164,112.89571634714974,34.76157006176168,9.706923336028344,32.768,1
Barnet,E09000003,19.59791676449369,10.985718683702794,61.7829315074324,0.7224114707416327,14.3433668203465,11.80228624249635,21.2073613238082,2.8979578636086405,62.203682789394946,98.65301553207998,24.243394993854434,7.755304843512901,16.148,7
Barnsley,E08000016,22.892978035394417,14.465200229699667,56.70500676450085,1.474103667699164,7.639380756222425,18.9234902710474,20.0611981519724,2.769903930488493,93.64723858336353,268.2068918624328,26.45945382882055,11.002488637659395,29.933,2
Barrow-in-Furness,E07000027,20.644089820424945,13.953828678266023,43.1649971576379,0.8713194763866547,9.875300286098037,14.541482549729249,19.1644830710562,2.2177808426929806,160.77425738183265,365.51251210216446,26.3958972018444,16.584740065026764,31.117,2
Basildon,E07000066,21.196294659701554,10.188837676244125,74.1816391715345,1.2690184757844996,8.898556842369443,12.05881816846875,31.7136333177077,2.4442920146068037,68.30770726305174,134.87817894990567,25.6770522371462,10.83951133790366,23.243,4
Basingstoke and Deane,E07000084,11.186230741407108,8.900310661229865,72.17521381843795,1.2855360031384955,5.737040656944247,6.57586564498734,16.015283988407,1.9643301443281962,96.20091915974321,232.5606525088618,18.705061569374184,9.582067731243505,12.823,8
Bassetlaw,E07000171,17.227138565997635,12.344863398392881,59.75325331201515,1.565176739969623,5.649501963337143,14.946964113869399,24.3644526639843,2.926815845872353,96.275708067816,220.05131801263437,25.260003334889934,13.427218223288147,22.588,4
Bath and North East Somerset,E06000022,11.9240920358701,8.280972007116349,69.45227918145665,1.3643051977682745,4.858738655270737,10.7319003931809,26.8412709201801,2.343984786226709,112.19928597825002,242.3530884881707,17.187791119031534,9.922983971311043,11.745,9
Bedford,E06000055,17.89574531681161,10.545841682304253,76.7336739340907,1.3148539895205098,14.5925733141533,13.86485028176985,18.6360152801386,2.913698386199993,82.72131365808997,174.1179327987355,23.856053200906615,11.811040530841593,18.932,5
Bexley,E09000004,17.917985251011018,8.616663753675006,68.9277390524154,1.3362777787922966,7.19093407169449,11.4877255161884,18.2444567895215,2.594888736700459,81.22816836008595,91.50688333432146,23.757508888628482,9.248355639717676,16.273,6
Birmingham,E08000025,32.47028263958543,10.813799339654205,53.941543762047644,1.1494429506388455,12.9769855455964,21.48607548156605,28.4965536077944,4.068138401676963,101.36331137557757,189.10250842960795,26.839738388652666,8.75016903857806,38.067,1
Blaby,E07000129,8.79555711122141,8.374943111287475,73.14331147378005,1.2505606693570737,8.69888977412656,9.652359271432491,22.7110414425649,2.228142362291549,68.90546915824027,127.86940980998325,21.8962759004288,11.436863309210581,10.629,9
Blackburn with Darwen,E06000008,26.314890179535983,13.141844929339745,52.8778748155295,1.166005969736075,18.225349540729102,16.020891694441502,25.2355497680437,4.50524941299063,156.8618214222095,295.7936338551444,28.628173657484,13.385230667654819,36.013,1
